country,country_code,year,reserves_excl_gold_usd,total_reserves_usd,gold_value_usd,gold_share_pct,gold_yoy_change_usd,gold_yoy_change_pct,gold_share_yoy_change,is_accumulating,accumulation_streak,gold_rank,usd_share_of_reserves_pct,usd_share_yoy_change,world_total_reserves_bn,world_gold_value_bn,us_gdp_bn,world_gdp_bn,us_gdp_share_pct,us_total_reserves_bn,us_reserves_excl_gold_bn,us_gold_value_bn,world_gold_share_pct,usd_share_drawdown_pct,gold_share_vs_world,accumulating_during_usd_decline,country_share_of_world_gold_pct,un_alignment_score,un_divergence_score,sanctions_score,sanctions_active,geo_bloc,geo_risk_score,geo_risk_tier,nlp_article_count,nlp_gold_positive,nlp_gold_negative,nlp_usd_positive,nlp_usd_negative,nlp_dedollar_mentions,nlp_sanctions_mentions,nlp_composite_signal,nlp_avg_sentiment_score,global_usd_article_count,global_usd_negative_pct,global_usd_positive_pct,global_usd_neutral_pct,global_usd_avg_score
Aruba,ABW,2000,208010000.0,235455000.0,27910771.0,11.66,,,,0,0,82,71.13,,2124.86,248.74,10250.95,33898.16,30.24,128.4,56.6,71.8,11.71,0.0,-0.05,0,0.0112,50.0,50.0,0,0,neutral,50.0,medium,,,,,,,,,,,,,,
Aruba,ABW,2001,293710614.52514,321360614.52514,27103777.0,8.6,-806994.0,-2.89,-3.06,0,0,82,71.51,0.38,2232.43,247.91,10581.93,33690.42,31.41,130.08,57.63,72.44,11.1,0.38,-2.5,0,0.0109,50.0,50.0,0,0,neutral,50.0,medium,,,,,,,,,,,,,,
Aruba,ABW,2002,339727932.960894,374002932.960894,30972745.0,9.16,3868968.0,14.27,0.56,1,1,81,67.11,-4.4,2625.65,303.33,10929.11,34991.53,31.23,157.76,67.96,89.8,11.55,-4.02,-2.39,1,0.0102,50.0,50.0,0,0,neutral,50.0,medium,,,,,,,,,,,,,,
Aruba,ABW,2003,295220700.0,336945700.0,36337701.0,12.38,5364956.0,17.32,3.22,1,2,77,65.45,-1.66,3271.63,361.79,11456.44,39243.28,29.19,184.02,74.89,109.13,11.06,-5.68,1.32,1,0.01,50.0,50.0,0,0,neutral,50.0,medium,,,,,,,,,,,,,,
Aruba,ABW,2004,295424000.0,339224000.0,40971663.0,12.91,4633962.0,12.75,0.53,1,3,76,65.86,0.41,3960.99,374.09,12217.19,44225.38,27.62,190.46,75.89,114.57,9.44,-5.27,3.47,0,0.011,50.0,50.0,0,0,neutral,50.0,medium,,,,,,,,,,,,,,
Aruba,ABW,2005,273513400.0,324813400.0,44473634.0,15.79,3501971.0,8.55,2.88,1,4,76,66.51,0.65,4524.61,429.3,13039.2,47900.49,27.22,188.26,54.08,134.18,9.49,-4.62,6.3,0,0.0104,50.0,50.0,0,0,neutral,50.0,medium,,,,,,,,,,,,,,
Aruba,ABW,2006,337819600.0,401389600.0,60376504.0,15.84,15902870.0,35.76,0.05,1,5,76,65.47,-1.04,5529.55,526.68,13815.59,51923.51,26.61,221.09,54.85,166.23,9.52,-5.66,6.32,1,0.0115,50.0,50.0,0,0,neutral,50.0,medium,,,,,,,,,,,,,,
Aruba,ABW,2007,372082100.0,455457100.0,69538428.0,18.31,9161924.0,15.17,2.47,1,6,79,63.87,-1.6,7125.4,680.26,14474.23,58525.79,24.73,277.55,59.52,218.02,9.55,-7.26,8.76,1,0.0102,50.0,50.0,0,0,neutral,50.0,medium,,,,,,,,,,,,,,
Aruba,ABW,2008,604898900.0,691873900.0,87195283.0,12.57,17656855.0,25.39,-5.74,1,7,80,64.15,0.28,7776.77,711.3,14769.86,64311.73,22.97,294.05,66.61,227.44,9.15,-6.98,3.42,0,0.0123,50.0,50.0,0,0,neutral,50.0,medium,,,,,,,,,,,,,,
Aruba,ABW,2009,578220110.0,686970110.0,97234201.0,15.83,10038918.0,11.51,3.26,1,8,80,62.14,-2.01,9047.08,915.21,14478.06,60982.26,23.74,404.1,119.72,284.38,10.12,-8.99,5.71,1,0.0106,50.0,50.0,0,0,neutral,50.0,medium,,,,,,,,,,,,,,
