country,country_code,year,will_accumulate_next_year,gold_share_pct,accumulation_streak,gold_yoy_change_pct,gold_share_yoy_change,gold_share_vs_world,country_share_of_world_gold_pct,usd_share_drawdown_pct,usd_share_yoy_change,accumulating_during_usd_decline,sanctions_score,geo_risk_score,un_alignment_score,global_usd_negative_pct,global_usd_positive_pct,world_gold_share_pct
Aruba,ABW,2001,1,8.6,0,-2.89,-3.06,-2.5,0.0109,0.38,0.38,0,0,50.0,50.0,20.0,0.0,11.1
Aruba,ABW,2002,1,9.16,1,14.27,0.56,-2.39,0.0102,-4.02,-4.4,1,0,50.0,50.0,20.0,0.0,11.55
Aruba,ABW,2003,1,12.38,2,17.32,3.22,1.32,0.01,-5.68,-1.66,1,0,50.0,50.0,20.0,0.0,11.06
Aruba,ABW,2004,1,12.91,3,12.75,0.53,3.47,0.011,-5.27,0.41,0,0,50.0,50.0,20.0,0.0,9.44
Aruba,ABW,2005,1,15.79,4,8.55,2.88,6.3,0.0104,-4.62,0.65,0,0,50.0,50.0,20.0,0.0,9.49
Aruba,ABW,2006,1,15.84,5,35.76,0.05,6.32,0.0115,-5.66,-1.04,1,0,50.0,50.0,20.0,0.0,9.52
Aruba,ABW,2007,1,18.31,6,15.17,2.47,8.76,0.0102,-7.26,-1.6,1,0,50.0,50.0,20.0,0.0,9.55
Aruba,ABW,2008,1,12.57,7,25.39,-5.74,3.42,0.0123,-6.98,0.28,0,0,50.0,50.0,20.0,0.0,9.15
Aruba,ABW,2009,1,15.83,8,11.51,3.26,5.71,0.0106,-8.99,-2.01,1,0,50.0,50.0,20.0,0.0,10.12
Aruba,ABW,2010,1,19.83,9,25.94,4.0,8.08,0.0103,-9.34,-0.35,1,0,50.0,50.0,20.0,0.0,11.75
Aruba,ABW,2011,1,22.2,10,28.34,2.37,10.77,0.012,-8.54,0.8,0,0,50.0,50.0,20.0,0.0,11.43
Aruba,ABW,2012,0,21.65,11,6.2,-0.55,9.91,0.0115,-9.66,-1.12,1,0,50.0,50.0,20.0,0.0,11.74
Aruba,ABW,2013,0,18.44,0,-15.44,-3.21,10.0,0.0132,-9.89,-0.23,0,0,50.0,50.0,20.0,0.0,8.44
