country,country_code,gold_share_pct,sanctions_score,geo_risk_tier,geo_bloc,usd_share_drawdown_pct,un_alignment_score,lr_prob,gb_prob,ensemble_prob,year
Afghanistan,AFG,13.64,0,medium,us_divergent,-12.11,32.0,0.7862,0.5799,0.683,2020
Malawi,MWI,0.0,0,medium,neutral,-5.39,50.0,0.7516,0.4432,0.5974,2015
Eritrea,ERI,0.0,0,medium,neutral,-4.02,50.0,0.693,0.4135,0.5532,2002
Syrian Arab Republic,SYR,5.65,3,high,us_divergent,-9.34,14.0,0.4114,0.6243,0.5178,2010
United States,USA,74.97,0,medium,neutral,-14.05,50.0,0.442,0.5799,0.511,2024
Mauritius,MUS,12.24,0,medium,neutral,-14.05,50.0,0.3954,0.5799,0.4876,2024
Canada,CAN,0.0,0,low,US_allied,-5.79,74.0,0.4841,0.4898,0.487,2016
China,CHN,5.53,0,high,us_divergent,-14.05,22.0,0.3874,0.5799,0.4836,2024
Armenia,ARM,0.0,0,medium,neutral,-5.68,42.0,0.4759,0.4898,0.4828,2003
Japan,JPN,5.77,0,low,US_allied,-14.05,68.0,0.3856,0.5799,0.4828,2024
Ethiopia,ETH,0.0,0,medium,us_divergent,-12.11,34.0,0.5957,0.3693,0.4825,2020
United Kingdom,GBR,14.91,0,low,US_allied,-14.05,78.0,0.3834,0.5799,0.4816,2024
Tanzania,TZA,0.0,0,medium,us_divergent,-5.68,33.0,0.4725,0.4898,0.4812,2003
Switzerland,CHE,9.59,0,low,US_allied,-14.05,60.0,0.3759,0.5799,0.4779,2024
Australia,AUS,9.85,0,low,US_allied,-14.05,76.0,0.3756,0.5799,0.4778,2024
Norway,NOR,0.0,0,low,US_allied,-5.27,63.0,0.4617,0.4898,0.4758,2004
Germany,DEU,74.39,0,low,US_allied,-14.05,69.0,0.37,0.5799,0.475,2024
"Korea, Rep.",KOR,2.09,0,low,US_allied,-14.05,67.0,0.3702,0.5799,0.475,2024
Qatar,QAT,17.22,0,medium,neutral,-14.05,42.0,0.3661,0.5799,0.473,2024
Costa Rica,CRI,0.0,0,medium,neutral,-5.79,50.0,0.454,0.4898,0.4719,2016
Luxembourg,LUX,6.73,0,low,US_allied,-14.05,63.0,0.363,0.5799,0.4714,2024
Denmark,DNK,5.15,0,low,US_allied,-14.05,62.0,0.3625,0.5799,0.4712,2024
Spain,ESP,21.92,0,low,US_allied,-14.05,64.0,0.3596,0.5799,0.4698,2024
Bulgaria,BGR,7.85,0,low,neutral,-14.05,59.0,0.3587,0.5799,0.4693,2024
Romania,ROU,11.84,0,low,US_allied,-14.05,60.0,0.3581,0.5799,0.469,2024
Latvia,LVA,10.86,0,low,US_allied,-14.05,62.0,0.3579,0.5799,0.4689,2024
Sweden,SWE,16.85,0,low,US_allied,-14.05,62.0,0.3577,0.5799,0.4688,2024
Lithuania,LTU,6.59,0,low,US_allied,-14.05,62.0,0.3567,0.5799,0.4683,2024
Lao PDR,LAO,0.0,0,high,us_divergent,-12.11,22.0,0.5667,0.3693,0.468,2020
North Macedonia,MKD,11.01,0,low,US_allied,-14.05,60.0,0.3551,0.5799,0.4675,2024
France,FRA,72.27,0,low,US_allied,-14.05,70.0,0.3545,0.5799,0.4672,2024
Italy,ITA,70.79,0,low,US_allied,-14.05,66.0,0.3516,0.5799,0.4658,2024
Belgium,BEL,46.02,0,low,US_allied,-14.05,64.0,0.3505,0.5799,0.4652,2024
Singapore,SGP,4.81,0,medium,neutral,-14.05,50.0,0.3498,0.5799,0.4648,2024
Trinidad and Tobago,TTO,2.92,0,medium,neutral,-14.05,50.0,0.3487,0.5799,0.4643,2024
Guatemala,GTM,2.37,0,medium,neutral,-14.05,50.0,0.3471,0.5799,0.4635,2024
Iceland,ISL,2.6,0,medium,neutral,-14.05,50.0,0.3471,0.5799,0.4635,2024
Ireland,IRL,7.95,0,medium,neutral,-14.05,50.0,0.3465,0.5799,0.4632,2024
India,IND,11.43,0,medium,neutral,-14.05,35.0,0.3463,0.5799,0.4631,2024
El Salvador,SLV,3.11,0,medium,neutral,-14.05,50.0,0.3459,0.5799,0.4629,2024
Saudi Arabia,SAU,5.84,0,medium,neutral,-14.05,44.0,0.3459,0.5799,0.4629,2024
Serbia,SRB,13.25,0,medium,neutral,-14.05,45.0,0.3426,0.5799,0.4612,2024
Kuwait,KWT,13.06,0,medium,neutral,-14.05,46.0,0.3425,0.5799,0.4612,2024
Oman,OMN,3.09,0,medium,neutral,-14.05,40.0,0.3423,0.5799,0.4611,2024
Azerbaijan,AZE,0.0,0,medium,neutral,-14.05,40.0,0.3413,0.5799,0.4606,2024
Thailand,THA,8.3,0,medium,neutral,-14.05,44.0,0.3411,0.5799,0.4605,2024
Morocco,MAR,5.0,0,medium,neutral,-14.05,44.0,0.3404,0.5799,0.4601,2024
Peru,PER,3.67,0,medium,neutral,-14.05,44.0,0.3402,0.5799,0.46,2024
Solomon Islands,SLB,2.16,0,medium,neutral,-12.77,50.0,0.3421,0.5771,0.4596,2022
Mexico,MEX,4.35,0,medium,neutral,-14.05,42.0,0.3394,0.5799,0.4596,2024
Slovak Republic,SVK,18.4,0,low,US_allied,-14.05,60.0,0.339,0.5799,0.4594,2024
Iraq,IRQ,13.55,1,medium,neutral,-14.05,38.0,0.3378,0.5799,0.4588,2024
Brazil,BRA,3.3,0,medium,neutral,-14.05,38.0,0.3372,0.5799,0.4586,2024
Tunisia,TUN,6.14,0,medium,neutral,-14.05,40.0,0.3352,0.5799,0.4576,2024
Hungary,HUN,19.88,0,medium,neutral,-14.05,58.0,0.3329,0.5799,0.4564,2024
Nigeria,NGA,0.0,0,medium,neutral,-14.05,35.0,0.3322,0.5799,0.456,2024
Netherlands,NLD,64.93,0,low,US_allied,-14.05,65.0,0.3286,0.5799,0.4542,2024
Bangladesh,BGD,5.6,0,medium,us_divergent,-14.05,33.0,0.3285,0.5799,0.4542,2024
Uzbekistan,UZB,77.82,0,medium,us_divergent,-14.05,33.0,0.3276,0.5799,0.4538,2024
Finland,FIN,20.4,0,low,US_allied,-14.05,61.0,0.3434,0.5617,0.4526,2024
South Africa,ZAF,16.08,0,medium,us_divergent,-14.05,33.0,0.324,0.5799,0.452,2024
Nicaragua,NIC,0.0,0,high,us_divergent,-5.27,22.0,0.4108,0.4898,0.4503,2004
Greece,GRC,63.15,0,low,US_allied,-14.05,60.0,0.3182,0.5799,0.449,2024
Algeria,DZA,17.54,0,medium,us_divergent,-14.05,25.0,0.3166,0.5799,0.4482,2024
Libya,LBY,13.24,1,high,us_divergent,-14.05,26.0,0.3156,0.5799,0.4478,2024
Austria,AUT,66.34,0,low,neutral,-14.05,59.0,0.3146,0.5799,0.4472,2024
Albania,ALB,4.4,0,low,US_allied,-14.05,62.0,0.3066,0.5799,0.4432,2024
"Egypt, Arab Rep.",EGY,23.69,0,medium,neutral,-14.05,36.0,0.3032,0.5799,0.4416,2024
Cyprus,CYP,55.87,0,medium,neutral,-14.05,50.0,0.3024,0.5799,0.4412,2024
Portugal,PRT,75.65,0,low,US_allied,-14.05,62.0,0.2983,0.5799,0.4391,2024
Pakistan,PAK,29.5,0,medium,us_divergent,-14.05,32.0,0.2913,0.5799,0.4356,2024
Czechia,CZE,2.93,0,low,US_allied,-14.05,62.0,0.2857,0.5799,0.4328,2024
Malaysia,MYS,2.81,0,medium,neutral,-14.05,36.0,0.2803,0.5799,0.4301,2024
Belarus,BLR,50.72,2,high,us_divergent,-14.05,20.0,0.2772,0.5799,0.4286,2024
Zimbabwe,ZWE,46.11,1,high,us_divergent,-14.05,22.0,0.2739,0.5799,0.4269,2024
Lebanon,LBN,72.25,0,medium,neutral,-14.05,36.0,0.2712,0.5799,0.4256,2024
Ukraine,UKR,5.24,0,medium,neutral,-14.05,52.0,0.2702,0.5799,0.425,2024
Indonesia,IDN,4.23,0,medium,neutral,-14.05,38.0,0.2577,0.5799,0.4188,2024
Bolivia,BOL,95.59,0,medium,us_divergent,-14.05,28.0,0.255,0.5799,0.4174,2024
Jordan,JOR,27.39,0,medium,neutral,-14.05,42.0,0.2454,0.5799,0.4126,2024
"Venezuela, RB",VEN,69.02,2,high,us_divergent,-8.41,18.0,0.3279,0.4898,0.4089,2017
Colombia,COL,0.63,0,medium,neutral,-14.05,52.0,0.2261,0.5799,0.403,2024
Mozambique,MOZ,8.59,0,medium,us_divergent,-14.05,25.0,0.2204,0.5799,0.4002,2024
"Congo, Rep.",COG,0.0,0,medium,neutral,-8.99,50.0,0.3043,0.4898,0.397,2009
Gabon,GAB,0.0,0,medium,neutral,-8.99,50.0,0.3031,0.4898,0.3964,2009
Chad,TCD,0.0,0,medium,neutral,-8.99,50.0,0.3027,0.4898,0.3962,2009
Kyrgyz Republic,KGZ,62.85,0,medium,neutral,-14.05,50.0,0.2026,0.5799,0.3912,2024
United Arab Emirates,ARE,2.62,0,medium,neutral,-14.05,44.0,0.1978,0.5799,0.3888,2024
Poland,POL,16.85,0,low,US_allied,-14.05,63.0,0.1992,0.5771,0.3882,2024
Cameroon,CMR,0.0,0,medium,us_divergent,-8.99,30.0,0.2813,0.4898,0.3856,2009
Georgia,GEO,13.46,0,medium,neutral,-14.05,55.0,0.1936,0.5771,0.3853,2024
Bosnia and Herzegovina,BIH,3.1,0,medium,neutral,-14.05,50.0,0.1872,0.5771,0.3822,2024
Argentina,ARG,17.52,0,medium,neutral,-14.05,36.0,0.1792,0.5799,0.3796,2024
Central African Republic,CAF,0.0,0,medium,us_divergent,-8.99,25.0,0.255,0.4898,0.3724,2009
Turkiye,TUR,41.3,0,medium,neutral,-14.05,48.0,0.1592,0.5771,0.3682,2024
Cambodia,KHM,17.32,0,medium,us_divergent,-14.05,28.0,0.1478,0.5771,0.3624,2024
Mongolia,MNG,11.19,0,medium,us_divergent,-14.05,30.0,0.1629,0.5589,0.3609,2024
Kazakhstan,KAZ,52.02,0,medium,neutral,-14.05,35.0,0.123,0.5771,0.35,2024
Ecuador,ECU,31.91,0,medium,us_divergent,-14.05,28.0,0.1188,0.5771,0.348,2024
Burundi,BDI,1.1,0,medium,neutral,-12.77,50.0,0.2223,0.417,0.3196,2022
Myanmar,MMR,5.18,2,high,us_divergent,-12.77,25.0,0.1923,0.417,0.3046,2022
Philippines,PHL,10.31,0,medium,neutral,-14.05,52.0,0.1802,0.417,0.2986,2024
Nepal,NPL,4.25,0,medium,us_divergent,-13.8,33.0,0.2661,0.2963,0.2812,2023
"Yemen, Rep.",YEM,0.0,1,high,us_divergent,-5.99,30.0,0.2041,0.3166,0.2603,2014
Malta,MLT,1.52,0,medium,neutral,-13.8,50.0,0.0687,0.4426,0.2556,2023
Brunei Darussalam,BRN,6.72,0,medium,neutral,-13.8,50.0,0.0673,0.4426,0.255,2023
Haiti,HTI,4.64,0,medium,neutral,-13.8,50.0,0.0742,0.4244,0.2493,2023
Estonia,EST,0.64,0,low,US_allied,-13.8,63.0,0.072,0.4244,0.2482,2023
Slovenia,SVN,8.88,0,low,US_allied,-13.8,61.0,0.0694,0.4244,0.2469,2023
Moldova,MDA,0.09,0,medium,neutral,-13.8,50.0,0.0679,0.4244,0.2462,2023
Fiji,FJI,0.13,0,medium,neutral,-13.8,50.0,0.0679,0.4244,0.2462,2023
Comoros,COM,0.37,0,medium,neutral,-13.8,50.0,0.0678,0.4244,0.2461,2023
Honduras,HND,0.61,0,medium,neutral,-13.8,50.0,0.0678,0.4244,0.2461,2023
Dominican Republic,DOM,0.24,0,medium,neutral,-13.8,46.0,0.0666,0.4244,0.2455,2023
Chile,CHL,0.04,0,medium,neutral,-13.8,46.0,0.0666,0.4244,0.2455,2023
Suriname,SUR,7.2,0,medium,neutral,-13.8,50.0,0.0657,0.4244,0.245,2023
Cabo Verde,CPV,7.88,0,medium,neutral,-13.8,50.0,0.0653,0.4244,0.2448,2023
Uruguay,URY,0.04,0,medium,neutral,-13.8,40.0,0.0648,0.4244,0.2446,2023
Bahrain,BHR,6.05,0,medium,neutral,-13.8,44.0,0.0645,0.4244,0.2444,2023
Kenya,KEN,0.02,0,medium,neutral,-13.8,38.0,0.0642,0.4244,0.2443,2023
Sri Lanka,LKA,0.71,0,medium,us_divergent,-13.8,34.0,0.062,0.4244,0.2432,2023
Mauritania,MRT,0.0,0,medium,us_divergent,-10.24,26.0,0.1576,0.317,0.2373,2019
Russian Federation,RUS,25.9,2,high,us_divergent,-13.8,18.0,0.1663,0.2963,0.2313,2023
Papua New Guinea,PNG,3.33,0,medium,neutral,-13.8,50.0,0.1479,0.2963,0.2221,2023
"Hong Kong SAR, China",HKG,0.03,0,medium,neutral,-13.8,50.0,0.1471,0.2963,0.2217,2023
Guinea,GIN,36.17,0,medium,us_divergent,-13.8,26.0,0.1448,0.2963,0.2206,2023
Paraguay,PRY,5.5,0,medium,neutral,-13.8,50.0,0.1447,0.2963,0.2205,2023
Aruba,ABW,14.05,0,medium,neutral,-13.8,50.0,0.143,0.2963,0.2196,2023
Croatia,HRV,0.0,0,medium,neutral,-13.8,58.0,0.0448,0.2542,0.1495,2023
Bhutan,BTN,1.01,0,medium,neutral,-13.8,50.0,0.0422,0.2542,0.1482,2023
Ghana,GHA,15.99,0,medium,neutral,-13.8,38.0,0.0417,0.2542,0.148,2023
Tajikistan,TJK,0.0,0,medium,neutral,-13.8,50.0,0.0353,0.2542,0.1448,2023
