Country,ISO3,Year,Region,Gold Value (USD bn),Gold Share of Reserves (%),Gold YoY Change (USD bn),Gold YoY Change (%),Gold Share YoY Change (pp),Is Accumulating,Accumulation Streak (yrs),Gold Rank,Total Reserves (USD bn),USD Share of Global Reserves (%),USD Share Drawdown from 2000 (pp),World Gold Reserves (USD bn),World Gold Share (%),Gold Share vs World Avg (pp),Accumulating During USD Decline,Country Share of World Gold (%),UN Alignment with US (score),UN Divergence Score,Sanctions Severity (0-3),Under Sanctions,Geopolitical Bloc,Geo Risk Score,Geo Risk Tier,US GDP Share of World (%)
Aruba,ABW,2000,Other,0.03,11.66,,,,0,0,79,0.24,71.13,0.0,248.74,11.71,-0.05,0,0.01,50.0,50.0,0,0,neutral,50.0,medium,30.24
Aruba,ABW,2001,Other,0.03,8.6,0.0,0.75,-3.06,1,1,80,0.32,71.51,0.38,247.91,11.1,-2.5,0,0.01,50.0,50.0,0,0,neutral,50.0,medium,31.41
Aruba,ABW,2002,Other,0.03,9.16,0.01,23.96,0.56,1,2,79,0.37,67.11,-4.02,303.33,11.55,-2.39,1,0.01,50.0,50.0,0,0,neutral,50.0,medium,31.23
Aruba,ABW,2003,Other,0.04,12.38,0.01,21.74,3.22,1,3,75,0.34,65.45,-5.68,361.79,11.06,1.32,1,0.01,50.0,50.0,0,0,neutral,50.0,medium,29.19
Aruba,ABW,2004,Other,0.04,12.91,0.0,4.97,0.53,1,4,75,0.34,65.86,-5.27,374.09,9.44,3.47,0,0.01,50.0,50.0,0,0,neutral,50.0,medium,27.62
Aruba,ABW,2005,Other,0.05,15.79,0.01,17.12,2.88,1,5,75,0.32,66.51,-4.62,429.3,9.49,6.3,0,0.01,50.0,50.0,0,0,neutral,50.0,medium,27.22
Aruba,ABW,2006,Other,0.06,15.84,0.01,23.92,0.05,1,6,75,0.4,65.47,-5.66,526.68,9.52,6.32,1,0.01,50.0,50.0,0,0,neutral,50.0,medium,26.61
Aruba,ABW,2007,Other,0.08,18.31,0.02,31.15,2.47,1,7,77,0.46,63.87,-7.26,680.26,9.55,8.76,1,0.01,50.0,50.0,0,0,neutral,50.0,medium,24.73
Aruba,ABW,2008,Other,0.09,12.57,0.0,4.32,-5.74,1,8,78,0.69,64.15,-6.98,711.3,9.15,3.42,0,0.01,50.0,50.0,0,0,neutral,50.0,medium,22.97
Aruba,ABW,2009,Other,0.11,15.83,0.02,25.04,3.26,1,9,78,0.69,62.14,-8.99,915.21,10.12,5.71,1,0.01,50.0,50.0,0,0,neutral,50.0,medium,23.74
